Genus;Species;cluster
Acinetobacter;Acinetobacter sp.;Cluster_5539
Desulfovibrio;microbial mat metagenome;Cluster_554
Agaricicola;unknown species;Cluster_55407
unknown genus;unknown species;Cluster_5541
unknown genus;metagenome;Cluster_55426
Mailhella;Desulfovibrio sp.;Cluster_5547
Candidatus Paracaedibacter;Multi-affiliation;Cluster_5548
Vitreoscilla;unknown species;Cluster_555
Intestinimonas;unknown species;Cluster_55521
unknown genus;unknown species;Cluster_55711
Spirochaeta;unknown species;Cluster_5572
unknown genus;wastewater metagenome;Cluster_5574
Aeromonas;Multi-affiliation;Cluster_5575
Acinetobacter;Multi-affiliation;Cluster_5578
Bdellovibrio;Multi-affiliation;Cluster_5582
Aeromonas;Multi-affiliation;Cluster_5584
Aeromonas;Multi-affiliation;Cluster_55857
Myroides;Multi-affiliation;Cluster_5594
Ruminiclostridium;Multi-affiliation;Cluster_5595
Pectobacterium;Pectobacterium sp.;Cluster_56
Pseudomonas;Multi-affiliation;Cluster_560
unknown genus;unknown species;Cluster_56059
Runella;wastewater metagenome;Cluster_5606
unknown genus;unknown species;Cluster_5607
Treponema;metagenome;Cluster_5610
Rhodobacter;Rhodobacteraceae bacterium;Cluster_5612
unknown genus;unknown species;Cluster_5617
Acinetobacter;Multi-affiliation;Cluster_562
Treponema;unknown species;Cluster_5620
Desulfovibrio;Multi-affiliation;Cluster_56206
Desulfovibrio;Multi-affiliation;Cluster_5629
Alkanindiges;Multi-affiliation;Cluster_5631
unknown genus;unknown species;Cluster_5634
Acetobacteroides;Bacteriodetes bacterium enrichment culture clone AP-FeEnrich5;Cluster_5637
unknown genus;unknown species;Cluster_564
unknown genus;unknown species;Cluster_5647
Paraperlucidibaca;Paraperlucidibaca wandonensis;Cluster_5650
Acinetobacter;Multi-affiliation;Cluster_5655
Lachnoclostridium;Clostridium boliviensis;Cluster_566
Pseudoruegeria;alpha proteobacterium A06;Cluster_5662
Rhizobacter;Rhizobacter profundi;Cluster_5664
Bdellovibrio;unknown species;Cluster_5667
unknown genus;unknown species;Cluster_56681
Clostridium sensu stricto 3;Multi-affiliation;Cluster_567
unknown genus;unknown species;Cluster_5673
Anaerosporobacter;Multi-affiliation;Cluster_56748
Multi-affiliation;Multi-affiliation;Cluster_5676
Dokdonella;metagenome;Cluster_5677
Enterobacter;unknown species;Cluster_5679
Faecalibacterium;Multi-affiliation;Cluster_5681
Desulforegula;Multi-affiliation;Cluster_569
Thermomonas;unknown species;Cluster_5694
Oscillibacter;Multi-affiliation;Cluster_57
Polyangium;metagenome;Cluster_570
Dysgonomonas;unknown species;Cluster_5704
OM60(NOR5) clade;unknown species;Cluster_5706
unknown genus;unknown species;Cluster_5707
Multi-affiliation;Multi-affiliation;Cluster_5709
unknown genus;metagenome;Cluster_5712
Desulfovibrio;Multi-affiliation;Cluster_5714
Multi-affiliation;Multi-affiliation;Cluster_5716
unknown genus;unknown species;Cluster_572
Rheinheimera;Pararheinheimera soli;Cluster_5720
Acinetobacter;Multi-affiliation;Cluster_57204
Tetrasphaera;unknown species;Cluster_5722
Clostridium sensu stricto 1;Clostridium chromiireducens;Cluster_5726
Kluyvera;Kluyvera sp.;Cluster_5727
Dokdonella;metagenome;Cluster_5728
Proteocatella;unknown species;Cluster_5729
Brevundimonas;Multi-affiliation;Cluster_573
Chryseobacterium;Chryseobacterium joostei;Cluster_5730
Aeromonas;Multi-affiliation;Cluster_57354
Myroides;Myroides profundi;Cluster_574
Flavobacterium;Flavobacterium aquicola;Cluster_5740
Candidatus Nitrotoga;unknown species;Cluster_5742
unknown genus;metagenome;Cluster_5743
unknown genus;Dialister sp.;Cluster_5748
Laribacter;Multi-affiliation;Cluster_575
Ideonella;unknown species;Cluster_5752
Acinetobacter;Multi-affiliation;Cluster_5753
RBG-16-49-21;Multi-affiliation;Cluster_57552
unknown genus;unknown species;Cluster_57579
UCG-008;Intestinibacillus massiliensis;Cluster_576
Flavobacterium;unknown species;Cluster_5761
Flavobacterium;bacterium 3A13;Cluster_5762
Multi-affiliation;Multi-affiliation;Cluster_5769
Williamwhitmania;unknown species;Cluster_577
Candidatus Accumulibacter;unknown species;Cluster_5770
Hypnocyclicus;unknown species;Cluster_57888
Multi-affiliation;Multi-affiliation;Cluster_579
Bernardetia;Bernardetia litoralis;Cluster_57909
Acinetobacter;Multi-affiliation;Cluster_57987
Aeromonas;Pseudaeromonas pectinilytica;Cluster_580
Acinetobacter;Multi-affiliation;Cluster_5801
Breznakia;Multi-affiliation;Cluster_5802
Acinetobacter;Multi-affiliation;Cluster_5806
Acinetobacter;Acinetobacter sp.;Cluster_5811
unknown genus;unknown species;Cluster_58163
Desulfomicrobium;Multi-affiliation;Cluster_582
unknown genus;unknown species;Cluster_58213
Prevotella_9;unknown species;Cluster_5824
Aeromonas;Multi-affiliation;Cluster_5832
Nakamurella;Nakamurella silvestris;Cluster_58322
Multi-affiliation;Multi-affiliation;Cluster_58355
unknown genus;unknown species;Cluster_58356
Neochlamydia;metagenome;Cluster_58358
Flavobacterium;unknown species;Cluster_58363
Leptospira;Multi-affiliation;Cluster_58367
Anaerocolumna;Multi-affiliation;Cluster_58404
unknown genus;Bacteroidales bacterium 36-12;Cluster_5841
Sutterella;Sutterellaceae bacterium Marseille-P2968;Cluster_5844
Candidatus Electronema;Candidatus Electronema palustris;Cluster_585
Oscillospiraceae bacterium;Multi-affiliation;Cluster_586
Desulfovibrio;unknown species;Cluster_58761
Morganella;Multi-affiliation;Cluster_5877
Multi-affiliation;Multi-affiliation;Cluster_58783
Acinetobacter;unknown species;Cluster_58804
Flavobacterium;Multi-affiliation;Cluster_5881
unknown genus;unknown species;Cluster_58830
Proteiniphilum;Proteiniphilum saccharofermentans;Cluster_5885
Raoultella/Klebsiella;Multi-affiliation;Cluster_59
Acinetobacter;unknown species;Cluster_5900
Multi-affiliation;Multi-affiliation;Cluster_5902
Dysgonomonas;Multi-affiliation;Cluster_59031
unknown genus;metagenome;Cluster_59067
Dysgonomonas;unknown species;Cluster_5910
Acinetobacter;Acinetobacter xiamenensis;Cluster_5912
Arcobacter;Multi-affiliation;Cluster_5914
Colidextribacter;Colidextribacter massiliensis;Cluster_5915
unknown genus;unknown species;Cluster_592
Stenoxybacter;unknown species;Cluster_5928
Dysgonomonas;unknown species;Cluster_593
Multi-affiliation;Multi-affiliation;Cluster_5932
Bacteroides;bacterium 'New Zealand B';Cluster_5934
Candidatus Accumulibacter;unknown species;Cluster_5938
Multi-affiliation;Multi-affiliation;Cluster_59450
Desulfovibrio;Multi-affiliation;Cluster_5956
[Bacteroides] pectinophilus group;[Bacteroides] pectinophilus ATCC 43243;Cluster_5957
Gottschalkia;unknown species;Cluster_5964
Butyricimonas;Butyricimonas sp.;Cluster_5966
Proteocatella;unknown species;Cluster_5970
Aeromonas;unknown species;Cluster_5975
Dysgonomonas;Multi-affiliation;Cluster_5979
Simplicispira;unknown species;Cluster_5981
Lactococcus;metagenome;Cluster_5988
Gottschalkia;unknown species;Cluster_5993
Pleomorphomonas;Pleomorphomonas oryzae;Cluster_5995
Desulfovibrio;Multi-affiliation;Cluster_6
Gemmobacter;Rhodobacteraceae bacterium 77D9;Cluster_6001
Sphingopyxis;Multi-affiliation;Cluster_6011
unknown genus;unknown species;Cluster_60184
Angelakisella;unknown species;Cluster_602
Moellerella;Moellerella wisconsensis;Cluster_6024
Alkaliflexus;unknown species;Cluster_60254
Buttiauxella;Escherichia sp.;Cluster_60256
Aeromonas;Multi-affiliation;Cluster_6029
Bosea;Multi-affiliation;Cluster_603
Cetobacterium;unknown species;Cluster_6037
Acinetobacter;Acinetobacter sp.;Cluster_6039
unknown genus;unknown species;Cluster_6042
Fusobacterium;Multi-affiliation;Cluster_6048
Robinsoniella;Robinsoniella peoriensis;Cluster_6049
unknown genus;metagenome;Cluster_605
Tolumonas;Tolumonas auensis;Cluster_60549
Leucobacter;Multi-affiliation;Cluster_606
Sedimentibacter;Sedimentibacter hongkongensis;Cluster_6060
Anaerobium;Multi-affiliation;Cluster_6062
Paucibacter;beta proteobacterium A0618;Cluster_60652
Acinetobacter;Acinetobacter xiamenensis;Cluster_6068
Nocardioides;Nocardioides jensenii;Cluster_60781
Treponema;unknown species;Cluster_608
unknown genus;unknown species;Cluster_6082
UCG-009;bacterium NLAE-zl-C231;Cluster_6088
unknown genus;metagenome;Cluster_6095
Trichococcus;Multi-affiliation;Cluster_61
Arcobacter;Multi-affiliation;Cluster_6100
Caedibacter;unknown species;Cluster_6105
Pelomonas;Pelomonas sp.;Cluster_61075
Desulfovibrio;Desulfovibrio sp.;Cluster_611
Aeromonas;Multi-affiliation;Cluster_6110
Trichlorobacter;unknown species;Cluster_61132
Acinetobacter;Multi-affiliation;Cluster_6114
unknown genus;Clostridium sp.;Cluster_6117
Prevotellaceae NK3B31 group;Multi-affiliation;Cluster_612
Aeromonas;Multi-affiliation;Cluster_6120
Solitalea;unknown species;Cluster_6124
unknown genus;unknown species;Cluster_61289
Aeromonas;unknown species;Cluster_613
unknown genus;unknown species;Cluster_6137
Acidovorax;Acidovorax cavernicola;Cluster_6141
Fusibacter;unknown species;Cluster_6143
Ruminococcus;unknown species;Cluster_6159
Dysgonomonas;unknown species;Cluster_6168
unknown genus;unknown species;Cluster_61711
Methylocaldum;Methylococcaceae bacterium;Cluster_61748
Butyricimonas;unknown species;Cluster_6176
Kluyvera;Kluyvera sp.;Cluster_61798
unknown genus;metagenome;Cluster_6182
unknown genus;unknown species;Cluster_61831
Telmatospirillum;unknown species;Cluster_6186
Aeromonas;Multi-affiliation;Cluster_6189
Dialister;Multi-affiliation;Cluster_619
Aeromonas;Multi-affiliation;Cluster_6192
Ligilactobacillus;Multi-affiliation;Cluster_6194
Desulfovibrio;unknown species;Cluster_6198
Providencia;Multi-affiliation;Cluster_62
Azospirillum;bacterium AEOC021;Cluster_62104
unknown genus;unknown species;Cluster_6211
Georgenia;unknown species;Cluster_6214
Candidatus Riegeria;unknown species;Cluster_6215
Desulfovibrio;Multi-affiliation;Cluster_62223
Desulfovibrio;unknown species;Cluster_6228
Telmatospirillum;Multi-affiliation;Cluster_623
Aeromonas;Multi-affiliation;Cluster_6233
Lawsonella;unknown species;Cluster_6234
Flavobacterium;Multi-affiliation;Cluster_6235
unknown genus;unknown species;Cluster_6240
Fusobacterium;Multi-affiliation;Cluster_6241
Multi-affiliation;Multi-affiliation;Cluster_62438
Desulfovibrio;unknown species;Cluster_62451
Demequina;Demequina lutea;Cluster_6255
Propionivibrio;unknown species;Cluster_6256
Bifidobacterium;Bifidobacterium kashiwanohense PV20-2;Cluster_6257
Zoogloea;Zoogloea ramigera;Cluster_626
unknown genus;unknown species;Cluster_62634
Trichococcus;Multi-affiliation;Cluster_62642
Desulfovibrio;Multi-affiliation;Cluster_6271
unknown genus;metagenome;Cluster_6276
Family XIII UCG-001;unknown species;Cluster_6279
Pedobacter;Pedobacter boryungensis;Cluster_6287
Proteocatella;unknown species;Cluster_6289
Tyzzerella;Multi-affiliation;Cluster_6290
Multi-affiliation;Multi-affiliation;Cluster_62900
Acinetobacter;Multi-affiliation;Cluster_63
Multi-affiliation;Multi-affiliation;Cluster_6300
unknown genus;Multi-affiliation;Cluster_6301
Flavobacterium;Flavobacterium aquatile;Cluster_6308
Aeromonas;unknown species;Cluster_63119
Bacteroides;unknown species;Cluster_6320
Multi-affiliation;Multi-affiliation;Cluster_63229
Tissierella;unknown species;Cluster_63266
Sulfurospirillum;Multi-affiliation;Cluster_6327
Carboxylicivirga;unknown species;Cluster_633
Phaselicystis;unknown species;Cluster_6331
Rivicola;metagenome;Cluster_6342
unknown genus;unknown species;Cluster_6346
unknown genus;unknown species;Cluster_6350
Multi-affiliation;Multi-affiliation;Cluster_6357
Neochlamydia;metagenome;Cluster_6358
Flavobacterium;unknown species;Cluster_63623
Staphylococcus;unknown species;Cluster_6363
Paludibaculum;unknown species;Cluster_63636
Faecalibacterium;unknown species;Cluster_6366
Sebaldella;Sebaldella termitidis ATCC 33386;Cluster_637
Giesbergeria;Multi-affiliation;Cluster_638
Multi-affiliation;Multi-affiliation;Cluster_6380
Brooklawnia;metagenome;Cluster_6381
unknown genus;unknown species;Cluster_6382
unknown genus;Multi-affiliation;Cluster_639
Desulfobulbus;Desulfobulbus sp.;Cluster_6390
Candidatus Schmidhempelia;unknown species;Cluster_64
unknown genus;unknown species;Cluster_6403
unknown genus;microbial mat metagenome;Cluster_6409
Bacteroides;gut metagenome;Cluster_641
Coxiella;unknown species;Cluster_6410
Streptomyces;Multi-affiliation;Cluster_6414
Faecalibacterium;Multi-affiliation;Cluster_6417
JTB215;bacterium str. 77003;Cluster_6418
Candidatus Accumulibacter;unknown species;Cluster_642
Aeromonas;Multi-affiliation;Cluster_6420
possible genus 06;unknown species;Cluster_6421
Gemmatimonas;metagenome;Cluster_64259
Bdellovibrio;unknown species;Cluster_6426
Roseateles;Multi-affiliation;Cluster_6430
Aeromonas;Multi-affiliation;Cluster_6431
Solitalea;unknown species;Cluster_6432
Dokdonella;metagenome;Cluster_6433
unknown genus;unknown species;Cluster_6434
Phaselicystis;unknown species;Cluster_6438
Pseudochrobactrum;Multi-affiliation;Cluster_6442
unknown genus;Multi-affiliation;Cluster_6447
Thiobacillus;unknown species;Cluster_6449
Acidaminobacter;unknown species;Cluster_6454
Vogesella;Vogesella sp.;Cluster_6456
Lachnospiraceae ND3007 group;unknown species;Cluster_646
unknown genus;unknown species;Cluster_6463
Shewanella;Multi-affiliation;Cluster_64631
Zoogloea;metagenome;Cluster_64687
Burkholderia-Caballeronia-Paraburkholderia;Multi-affiliation;Cluster_6475
Prevotella;unknown species;Cluster_64771
RBG-16-49-21;unknown species;Cluster_6478
unknown genus;unknown species;Cluster_6480
unknown genus;unknown species;Cluster_6481
Macromonas;Multi-affiliation;Cluster_6483
BD1-7 clade;unknown species;Cluster_6488
Chryseobacterium;Multi-affiliation;Cluster_649
Hydrogenophaga;Hydrogenophaga flava;Cluster_6490
Hydrogenophaga;unknown species;Cluster_6491
Acinetobacter;Acinetobacter xiamenensis;Cluster_6492
Dysgonomonas;unknown species;Cluster_6496
Flavobacterium;unknown species;Cluster_6497
[Desulfobacterium] catecholicum group;bacterium ROME95Asa;Cluster_6508
unknown genus;metagenome;Cluster_6517
Multi-affiliation;Multi-affiliation;Cluster_6518
Halomonas;Candidatus Halomonas phosphatis;Cluster_652
Desulfatitalea;unknown species;Cluster_6520
Desulfovibrio;Desulfovibrio sp.;Cluster_6523
Mesorhizobium;unknown species;Cluster_6526
Bacteroides;Bacteroidaceae bacterium MS4;Cluster_65292
Tyzzerella;unknown species;Cluster_653
Multi-affiliation;Multi-affiliation;Cluster_65300
Leucobacter;unknown species;Cluster_6531
unknown genus;unknown species;Cluster_6532
Sulfurimonas;unknown species;Cluster_6533
unknown genus;unknown species;Cluster_65364
Rhodococcus;Rhodococcus sp.;Cluster_6538
Comamonas;unknown species;Cluster_65440
Spirochaeta 2;Spirochaeta aurantia;Cluster_6545
Fournierella;unknown species;Cluster_6551
Morganella;Morganella psychrotolerans;Cluster_6553
Acinetobacter;Multi-affiliation;Cluster_65573
Pseudochrobactrum;Multi-affiliation;Cluster_6559
Multi-affiliation;Multi-affiliation;Cluster_6560
unknown genus;metagenome;Cluster_6562
Flavobacterium;unknown species;Cluster_6563
Proteocatella;Proteocatella sphenisci;Cluster_6565
Desulfovibrio;Desulfovibrio aerotolerans;Cluster_6568
Taibaiella;metagenome;Cluster_6571
unknown genus;Multi-affiliation;Cluster_6572
Niveispirillum;Multi-affiliation;Cluster_6573
Labrys;unknown species;Cluster_65736
Aeromonas;Multi-affiliation;Cluster_6579
Desulfatiferula;Multi-affiliation;Cluster_658
Candidatus Accumulibacter;Multi-affiliation;Cluster_6584
Sphingobacterium;Sphingobacterium psychroaquaticum;Cluster_6589
unknown genus;unknown species;Cluster_6595
Desulfonema;unknown species;Cluster_6600
Brevinema;Brevinema andersonii;Cluster_6604
Dyadobacter;Dyadobacter sp.;Cluster_6605
Candidatus Paracaedibacter;Candidatus Paracaedibacter symbiosus;Cluster_6607
Proteocatella;unknown species;Cluster_6609
Desulfovibrio;Multi-affiliation;Cluster_661
Aeromonas;Pseudaeromonas sharmana;Cluster_6610
Oligoflexus;metagenome;Cluster_66137
Flavobacterium;Flavobacterium anseonense;Cluster_66150
Trichlorobacter;unknown species;Cluster_6618
Providencia;Providencia stuartii;Cluster_6623
Fluviicola;Fluviicola taffensis;Cluster_6625
Coxiella;unknown species;Cluster_6630
Limnohabitans;unknown species;Cluster_6634
Desulfovibrio;unknown species;Cluster_6638
Lachnospira;Multi-affiliation;Cluster_665
Oligoflexus;unknown species;Cluster_66523
unknown genus;unknown species;Cluster_6653
unknown genus;unknown species;Cluster_6654
Zoogloea;Zoogloea resiniphila;Cluster_66547
Bdellovibrio;Bdellovibrio bacteriovorus;Cluster_6657
Ohtaekwangia;Multi-affiliation;Cluster_66635
Formivibrio;unknown species;Cluster_6668
Flavihumibacter;unknown species;Cluster_6671
Desulfonema;unknown species;Cluster_66712
unknown genus;unknown species;Cluster_6674
Eisenbergiella;Multi-affiliation;Cluster_6676
Bilophila;Multi-affiliation;Cluster_668
Spirochaeta 2;Spirochaeta sp.;Cluster_6681
unknown genus;unknown species;Cluster_6686
Caedibacter;unknown species;Cluster_6687
unknown genus;unknown species;Cluster_6690
Pseudomonas;Pseudomonas fluorescens;Cluster_6695
Fusobacterium;Multi-affiliation;Cluster_6697
Shewanella;Multi-affiliation;Cluster_67
Coprococcus;Multi-affiliation;Cluster_670
Cellvibrio;unknown species;Cluster_6700
unknown genus;unknown species;Cluster_6705
unknown genus;unknown species;Cluster_671
Acidovorax;simazine-degrading bacterium a3;Cluster_6710
Rivicola;unknown species;Cluster_6712
unknown genus;unknown species;Cluster_6713
Tessaracoccus;metagenome;Cluster_67173
unknown genus;unknown species;Cluster_6718
BD1-7 clade;unknown species;Cluster_6720
Dokdonella;metagenome;Cluster_6729
Qingshengfania;Pseudochelatococcus lubricantis;Cluster_673
Aeromonas;Multi-affiliation;Cluster_6736
Oxalobacter;Oxalobacter formigenes HOxBLS;Cluster_6739
Desulfovibrio;Desulfovibrio cf. magneticus IFRC170;Cluster_6741
unknown genus;unknown species;Cluster_6742
unknown genus;unknown species;Cluster_6750
Syntrophomonas;metagenome;Cluster_6752
Fibrobacter;metagenome;Cluster_6753
Chryseobacterium;Chryseobacterium sp.;Cluster_6756
unknown genus;unknown species;Cluster_6757
XBB1006;Multi-affiliation;Cluster_676
unknown genus;unknown species;Cluster_6766
unknown genus;metagenome;Cluster_6767
Pseudomonas;Multi-affiliation;Cluster_6768
Arcobacter;Multi-affiliation;Cluster_6773
[Desulfobacterium] catecholicum group;bacterium ROME95Asa;Cluster_6778
Anaerostignum;unknown species;Cluster_678
Pannonibacter;unknown species;Cluster_6780
unknown genus;unknown species;Cluster_6783
Myroides;Myroides injenensis M09-0166;Cluster_6789
unknown genus;unknown species;Cluster_679
Chelatococcus;unknown species;Cluster_6790
Caedibacter;Caedimonas varicaedens;Cluster_6792
Pectobacterium;Pectobacterium sp.;Cluster_6797
Multi-affiliation;Multi-affiliation;Cluster_67989
Desulfovibrio;Desulfovibrio sulfodismutans;Cluster_6799
Paludibacterium;Neisseriaceae bacterium BFE30I;Cluster_68
unknown genus;Multi-affiliation;Cluster_680
unknown genus;unknown species;Cluster_6803
Desulfovibrio;unknown species;Cluster_6805
Desulfovibrio;Desulfovibrio simplex;Cluster_681
Azotobacter;Azotobacter chroococcum;Cluster_6812
Aeromonas;Multi-affiliation;Cluster_6815
unknown genus;unknown species;Cluster_6820
unknown genus;unknown species;Cluster_6822
Treponema;Multi-affiliation;Cluster_6826
Dermacoccus;Multi-affiliation;Cluster_68265
Anaerovorax;bacterium TC8;Cluster_6828
unknown genus;unknown species;Cluster_6830
Arcobacter;Multi-affiliation;Cluster_6840
Undibacterium;Noccaea caerulescens;Cluster_6841
Propionivibrio;unknown species;Cluster_6844
Dysgonomonas;Multi-affiliation;Cluster_6846
Williamwhitmania;unknown species;Cluster_6852
unknown genus;unknown species;Cluster_68546
Gordonia;Gordonia polyisoprenivorans;Cluster_6857
unknown genus;unknown species;Cluster_6859
Mesorhizobium;metagenome;Cluster_6870
unknown genus;unknown species;Cluster_6875
Pantoea;Multi-affiliation;Cluster_6879
Sulfurospirillum;Sulfurospirillum sp.;Cluster_688
unknown genus;unknown species;Cluster_6887
Geobacter;Geobacter sp.;Cluster_6888
Pelosinus;unknown species;Cluster_689
unknown genus;unknown species;Cluster_6895
Duganella;Janthinobacterium sp.;Cluster_6899
Thermomonas;unknown species;Cluster_6904
Pseudomonas;Multi-affiliation;Cluster_69054
Desulfovibrio;unknown species;Cluster_6908
Acetobacterium;Multi-affiliation;Cluster_691
SWB02;unknown species;Cluster_6913
unknown genus;metagenome;Cluster_6914
Aeromonas;Aeromonas salmonicida;Cluster_69143
Acinetobacter;unknown species;Cluster_6917
Family XIII AD3011 group;unknown species;Cluster_6919
Enterococcus;Multi-affiliation;Cluster_692
Oligoflexus;unknown species;Cluster_6928
Aeromonas;Multi-affiliation;Cluster_6930
Alloprevotella;unknown species;Cluster_6932
Nocardioides;Multi-affiliation;Cluster_6934
Alkanindiges;Multi-affiliation;Cluster_694
Leucobacter;Multi-affiliation;Cluster_69452
Dysgonomonas;Multi-affiliation;Cluster_695
Lactococcus;Multi-affiliation;Cluster_6950
Gordonia;Gordonia phosphorivorans;Cluster_6951
Aeromonas;Aeromonas veronii;Cluster_69543
Multi-affiliation;Multi-affiliation;Cluster_696
Proteiniphilum;unknown species;Cluster_6960
Flavobacterium;Flavobacterium ardleyense;Cluster_6965
Oscillospira;unknown species;Cluster_6966
unknown genus;metagenome;Cluster_69676
unknown genus;metagenome;Cluster_69715
unknown genus;unknown species;Cluster_6973
unknown genus;unknown species;Cluster_6974
unknown genus;unknown species;Cluster_6975
Rhizomicrobium;Rhizomicrobium electricum;Cluster_6977
Legionella;Multi-affiliation;Cluster_698
Methylibium;Multi-affiliation;Cluster_6983
Nevskia;unknown species;Cluster_6985
Leptotrichia;unknown species;Cluster_699
unknown genus;Multi-affiliation;Cluster_6990
Edaphobaculum;unknown species;Cluster_6994
Aeromonas;Multi-affiliation;Cluster_7
Candidatus Accumulibacter;beta proteobacterium pACH94;Cluster_7004
unknown genus;metagenome;Cluster_7009
Dysgonomonas;unknown species;Cluster_701
Diaphorobacter;Comamonadaceae bacterium PIV-3D;Cluster_7011
Pseudoflavitalea;Niastella sp.;Cluster_7013
unknown genus;metagenome;Cluster_7017
unknown genus;metagenome;Cluster_7025
unknown genus;unknown species;Cluster_703
Aeromonas;Multi-affiliation;Cluster_7031
unknown genus;unknown species;Cluster_7032
unknown genus;unknown species;Cluster_70331
unknown genus;metagenome;Cluster_7035
unknown genus;Multi-affiliation;Cluster_70364
Enterobacter;unknown species;Cluster_70372
RBG-16-49-21;unknown species;Cluster_7043
unknown genus;unknown species;Cluster_7047
Aeromonas;unknown species;Cluster_7051
unknown genus;unknown species;Cluster_7054
Desulfovibrio;Multi-affiliation;Cluster_7062
Alkaliflexus;unknown species;Cluster_7066
Aeromonas;Multi-affiliation;Cluster_7067
Lactococcus;Multi-affiliation;Cluster_70674
unknown genus;unknown species;Cluster_7068
unknown genus;metagenome;Cluster_707
Zoogloea;Zoogloea caeni;Cluster_7072
Ohtaekwangia;unknown species;Cluster_7073
unknown genus;unknown species;Cluster_7074
Pajaroellobacter;unknown species;Cluster_7088
Tolumonas;unknown species;Cluster_70980
Aliarcobacter;Multi-affiliation;Cluster_71
Multi-affiliation;Multi-affiliation;Cluster_7101
unknown genus;unknown species;Cluster_7106
Bdellovibrio;unknown species;Cluster_7107
Elstera;unknown species;Cluster_71097
Acinetobacter;Multi-affiliation;Cluster_7112
unknown genus;unknown species;Cluster_7113
Rugamonas;Rugamonas rubra;Cluster_7119
[Cytophaga] xylanolytica group;unknown species;Cluster_712
Proteus;Multi-affiliation;Cluster_7121
unknown genus;unknown species;Cluster_7128
Procabacter;endosymbiont of Acanthamoeba sp. S23;Cluster_7139
Sutterella;unknown species;Cluster_7141
Multi-affiliation;Multi-affiliation;Cluster_7143
Chitinimonas;Chitinimonas lacunae;Cluster_7147
Erwinia;Pantoea dispersa;Cluster_7150
Candidatus Competibacter;unknown species;Cluster_7151
Bacteroides;unknown species;Cluster_7155
IMCC26207;metagenome;Cluster_716
Bacteroides;unknown species;Cluster_7166
Rhodanobacter;Rhodanobacter sp.;Cluster_7168
WCHB1-32;unknown species;Cluster_7175
Pseudohongiella;metagenome;Cluster_7177
Propionivibrio;unknown species;Cluster_71785
unknown genus;unknown species;Cluster_7179
unknown genus;unknown species;Cluster_7185
Multi-affiliation;Multi-affiliation;Cluster_7188
Candidatus Riegeria;unknown species;Cluster_72
Anaerobium;Multi-affiliation;Cluster_720
Rhodovastum;metagenome;Cluster_7202
Multi-affiliation;Multi-affiliation;Cluster_7206
Bacillus;Multi-affiliation;Cluster_7208
Leadbetterella;unknown species;Cluster_72085
Aeromonas;Multi-affiliation;Cluster_721
Desulfovibrio;Multi-affiliation;Cluster_7211
unknown genus;unknown species;Cluster_7213
unknown genus;unknown species;Cluster_7217
unknown genus;unknown species;Cluster_7220
unknown genus;unknown species;Cluster_7225
Sulfurospirillum;Sulfurospirillum cavolei;Cluster_7234
Lactococcus;Multi-affiliation;Cluster_7236
unknown genus;unknown species;Cluster_724
Dysgonomonas;Dysgonomonas sp.;Cluster_725
Flavobacterium;Multi-affiliation;Cluster_7252
Flavobacterium;unknown species;Cluster_7262
Bacteroides;unknown species;Cluster_7263
Multi-affiliation;Multi-affiliation;Cluster_7267
Comamonas;Multi-affiliation;Cluster_72700
unknown genus;unknown species;Cluster_7271
Coxiella;unknown species;Cluster_7272
Pseudorhodoplanes;Multi-affiliation;Cluster_7273
Aeromonas;unknown species;Cluster_7275
unknown genus;unknown species;Cluster_72770
Aeromonas;Multi-affiliation;Cluster_7280
Bdellovibrio;unknown species;Cluster_7281
Proteocatella;unknown species;Cluster_7291
Anaeromyxobacter;unknown species;Cluster_72926
Clostridium sensu stricto 18;Multi-affiliation;Cluster_73
Ahniella;unknown species;Cluster_730
unknown genus;unknown species;Cluster_73008
Haliscomenobacter;unknown species;Cluster_7301
Clostridioides;Multi-affiliation;Cluster_7303
IheB3-7;unknown species;Cluster_73173
Anaerobium;Multi-affiliation;Cluster_732
unknown genus;unknown species;Cluster_7320
Alloprevotella;unknown species;Cluster_7321
Tolumonas;unknown species;Cluster_73238
Acetanaerobacterium;unknown species;Cluster_7326
unknown genus;unknown species;Cluster_73260
unknown genus;unknown species;Cluster_7328
Acetobacteroides;unknown species;Cluster_7329
Polaromonas;Multi-affiliation;Cluster_7349
Methyloversatilis;Multi-affiliation;Cluster_7352
unknown genus;unknown species;Cluster_7358
unknown genus;Multi-affiliation;Cluster_7359
Desulfovibrio;Multi-affiliation;Cluster_73595
Flavobacterium;Flavobacterium sp.;Cluster_73651
unknown genus;unknown species;Cluster_73687
Listeria;Multi-affiliation;Cluster_737
unknown genus;unknown species;Cluster_7371
Acinetobacter;Acinetobacter sp.;Cluster_7372
Caedibacter;endosymbiont of Acanthamoeba sp. S40;Cluster_7373
unknown genus;unknown species;Cluster_73747
JTB215;bacterium str. 77003;Cluster_7379
Dysgonomonas;unknown species;Cluster_738
Candidatus Alysiosphaera;unknown species;Cluster_7385
Arcobacter;Multi-affiliation;Cluster_7388
Bifidobacterium;Multi-affiliation;Cluster_7389
[Eubacterium] hallii group;Multi-affiliation;Cluster_739
unknown genus;unknown species;Cluster_7391
Proteus;Multi-affiliation;Cluster_74
Sedimentibacter;Sedimentibacter hongkongensis;Cluster_741
unknown genus;unknown species;Cluster_74118
